id,strongs_number,transliteration,gloss,language,status,owning_registry_fk,owning_word,owning_registry
4288,G0035,agenealogētos,without genealogy,Greek,,,without genealogy,112
4285,G0313,anagennaō,to rebirth,Greek,,,to rebirth,112
4347,G0906G,ballō,to throw: throw,Greek,,,to throw: throw,112
4348,G0906H,ballō,to throw: put,Greek,,,to throw: put,112
4361,G0906I,ballō,to throw: sow,Greek,,,to throw: sow,112
4353,G0906J,ballō,to throw: pour,Greek,,,to throw: pour,112
4366,G0906K,ballō,to throw: hit,Greek,candidate_delete,,to throw: hit,112
4286,G1077,genesia genethlios,birthday,Greek,,,birthday,112
4289,G1079,genetē,birth,Greek,,,birth,112
4280,G1080,gennaō,to beget,Greek,,,to beget,112
4283,G1081G,gennēma,offspring,Greek,,,offspring,112
4284,G1081H,gennēma,offspring: fruit,Greek,,,offspring: fruit,112
4290,G1083,gennēsis,birth,Greek,,,birth,112
4287,G1084,gennētos,born,Greek,,,born,112
4209,G1364,dis,twice,Greek,,,twice,112
1005,G1839,existēmi,to amaze,Greek,extracted,112,mind,112
640,G194,akratos,undiluted,Greek,excluded,187,strength,187
4279,G2104,eugenēs,of noble birth,Greek,,,of noble birth,112
268,G2671B,katafobos,fear,Greek,excluded,61,fear,61
4414,G3306,menō,to stay,Greek,,,to stay,112
4415,G3418,mnēma,tomb,Greek,,,tomb,112
1007,G4238,prassō,to do/require,Greek,extracted,112,mind,112
4281,G4773,sungenēs,kindred,Greek,,,kindred,112
304,G5420,foberizō,to throw into fear,Greek,excluded,61,fear,61
373,G9704,charmone,a cause for joy,Greek,excluded,97,joy,97
374,G9706,charopoios,a causing joy,Greek,excluded,97,joy,97
405,G_PENDING_epelpizo,epelpizo,to raise hope,Greek,extracted,78,hope,78
4263,H0046,a.vir,mighty,Hebrew,,,mighty,112
4260,H0047G,ab.bir,mighty: ox,Hebrew,,,mighty: ox,112
4261,H0047H,ab.bir,mighty: stallion,Hebrew,,,mighty: stallion,112
4259,H0047I,ab.bir,mighty: strong,Hebrew,,,mighty: strong,112
4262,H0047J,ab.bir,mighty: angel,Hebrew,,,mighty: angel,112
4266,H0082,a.var,to fly,Hebrew,,,to fly,112
4265,H0083,e.ver,wing,Hebrew,,,wing,112
4264,H0084,ev.rah,pinion,Hebrew,,,pinion,112
4386,H0821,ash.mu.rah,watch,Hebrew,,,watch,112
538,H3039C,ya.di.dah,love,Hebrew,excluded,103,love,103
258,H3372A,ya.re,afraid,Hebrew,excluded,61,fear,61
295,H3372B,ya.re,to fear,Hebrew,excluded,61,fear,61
4384,H4929,mish.mar,custody,Hebrew,,,custody,112
4383,H4931,mish.me.ret,charge,Hebrew,,,charge,112
1003,H5048,ne.ged,before,Hebrew,extracted,112,mind,112
476,H5315,ne.phesh,soul: appetite,Hebrew,extracted,182,soul,182
4199,H5585,sa.iph,cleft,Hebrew,,,cleft,112
4202,H5586,sa.aph,to lop,Hebrew,,,to lop,112
4201,H5589,se.ap.pah,bough,Hebrew,,,bough,112
4204,H5634,sar.ap.pah,bough,Hebrew,,,bough,112
264,H6343B,pa.chad,dread,Hebrew,excluded,61,fear,61
4222,H7217,resh,head,Hebrew,,,head,112
4223,H7218A,rosh,head,Hebrew,,,head,112
4229,H7218B,rosh,prince,Hebrew,,,prince,112
4224,H7218H,rosh,head: leader,Hebrew,,,head: leader,112
4225,H7218I,rosh,head: top,Hebrew,,,head: top,112
4226,H7218J,rosh,head: first,Hebrew,,,head: first,112
4227,H7218K,rosh,head: group,Hebrew,,,head: group,112
4228,H7218L,rosh,head: count,Hebrew,,,head: count,112
4385,H8068,sha.mir,thorn,Hebrew,,,thorn,112
4387,H8107,shim.mur,vigil,Hebrew,,,vigil,112
4388,H8108,shom.rah,guard,Hebrew,,,guard,112
4389,H8109,she.mu.rah,waking,Hebrew,,,waking,112
493,PENDING-043-epithumema,epithumēma,desire,Greek,extracted,43,desire,43
490,PENDING-043-epithumetos,epithumētos,desirable,Greek,extracted,43,desire,43
503,PENDING-043-oregō,oregō,to aspire,Greek,extracted,43,desire,43
442,PENDING-135-metameleia,metameleia,repentance,Greek,extracted,135,repentance,135
